ID,lat,lng,street,city,country
518,40.2052002,44.5306779,Nersisyan St,Yerevan,Armenia
519,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
520,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
521,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
522,40.2052002,44.5306779,Nersisyan St,Yerevan,Armenia
523,40.2003784,44.4958383,Gyulbenkyan St,Yerevan,Armenia
524,40.1831583,44.4950688,Hrazdan Gorge,Yerevan,Armenia
525,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
527,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
528,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
529,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
530,40.1922371,44.5041657,Marshal Baghramyan Ave,Yerevan,Armenia
531,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
533,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
534,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
536,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
537,40.1769039,44.5220545,Khanjyan St,Yerevan,Armenia
538,40.1922371,44.5041657,Marshal Baghramyan Ave,Yerevan,Armenia
539,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
540,40.1801152,44.51284649999999,Aram Street,Yerevan,Armenia
541,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
543,40.18245659999999,44.5154619,Hin Yerevantsi St,Yerevan,Armenia
544,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
545,40.1796961,44.5004573,Paronyan St,Yerevan,Armenia
546,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
547,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
548,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
549,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
550,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
551,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
553,40.2041361,44.5506143,Rubinyants St,Yerevan,Armenia
554,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
555,40.1865393,44.5127365,Alexander Spendiaryan St,Yerevan,Armenia
556,40.2041361,44.5506143,Rubinyants St,Yerevan,Armenia
557,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
558,40.1686452,44.45749199999999,Malatia-Sebastia,Yerevan,Armenia
559,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
560,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
562,40.1739979,44.52130349999999,Vardanants St,Yerevan,Armenia
563,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
564,40.1815734,44.520049,Nalbandyan St,Yerevan,Armenia
565,40.1815734,44.520049,Nalbandyan St,Yerevan,Armenia
566,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
567,40.1815025,44.5108536,Yeznik Koghbatsi St,Yerevan,Armenia
568,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
569,40.1815734,44.520049,Nalbandyan St,Yerevan,Armenia
570,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
571,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
572,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
573,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
574,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
575,40.1798593,44.5250268,Alek Manukyan St,Yerevan,Armenia
576,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
577,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
578,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
579,40.1801152,44.51284649999999,Aram Street,Yerevan,Armenia
581,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
582,40.1831583,44.4950688,Hrazdan Gorge,Yerevan,Armenia
583,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
585,40.1912848,44.4706607,Leningradyan St,Yerevan,Armenia
586,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
587,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
588,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
589,40.1665764,44.5132354,Tigran Mets Ave,Yerevan,Armenia
590,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
591,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
592,40.1860168,44.5183665,Teryan St,Yerevan,Armenia
593,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
594,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
595,40.1815734,44.520049,Nalbandyan St,Yerevan,Armenia
597,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
598,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
599,40.1572119,44.50175549999999,Arshakunyats Ave,Yerevan,Armenia
601,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
602,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
603,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
604,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
605,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
606,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
607,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
610,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
611,40.1880349,44.5174169,Moskovyan Street,Yerevan,Armenia
612,40.2041361,44.5506143,Rubinyants St,Yerevan,Armenia
613,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
614,40.1820619,44.5208837,Sayat-Nova Ave,Yerevan,Armenia
616,40.1943397,44.4872434,Kievyan St,Yerevan,Armenia
617,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
618,40.1778973,44.5189876,Hanrapetutyan St,Yerevan,Armenia
619,40.1820773,44.5146677,Northern Ave,Yerevan,Armenia
620,40.153611,44.527222,Lac Vardavar,Yerevan,Armenia
621,40.183731,44.5111862,Mesrop Mashtots Ave,Yerevan,Armenia
622,40.18938180000001,44.5156616,Tamanyan St,Yerevan,Armenia
623,40.2053451,44.4984591,Aram Khachatrian St,Yerevan,Armenia
625,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
626,40.1851571,44.52059999999999,Abovyan St,Yerevan,Armenia
627,40.1922371,44.5041657,Marshal Baghramyan Ave,Yerevan,Armenia
628,40.1878405,44.52007769999999,Teryan,Yerevan,Armenia
629,40.5338226,44.70642950000001,Tandzaghbyur St, Tsaghkadzor 2310,Armenia
631,40.5344006,44.7194932,Orbeli Brothers St, Tsaghkadzor 2310,Armenia
633,40.5338226,44.70642950000001,Tandzaghbyur St, Tsaghkadzor 2310,Armenia
634,40.2507786,44.419895,Proshyan,Armenia
635,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
636,40.5344006,44.7194932,Orbeli Brothers St, Tsaghkadzor 2310,Armenia
637,40.2042635,44.5021686,Vahram Papazyan St,Yerevan,Armenia
638,40.5338226,44.70642950000001,Tandzaghbyur St, Tsaghkadzor 2310,Armenia
639,40.2165996,44.5770075,Isahakyan,Yerevan,Armenia
640,40.5336086,44.7389674,Pahlavunyats St, Tsaghkadzor 2310,Armenia
644,40.5325169,44.7198433,Grigor Magistros Ln, Tsaghkadzor 2310,Armenia
645,40.1806224,44.50817809999999,Amiryan St,Yerevan,Armenia
646,40.1828222,44.512412,Pushkin St,Yerevan,Armenia
647,40.5333069,44.71142649999999,Vladimir Harutyunyan St, Tsaghkadzor 2310,Armenia
648,40.2012047,44.5014376,Hrachya Kochar St,Yerevan,Armenia
649,40.5338226,44.70642950000001,Tandzaghbyur St, Tsaghkadzor 2310,Armenia
650,40.1709263,44.5173011,Yervand Kochar St,Yerevan,Armenia
651,40.1668828,44.5146355,Movses Khorenatsi Street,Yerevan,Armenia
654,40.52118249999999,44.7604683,Zoravar Andranik Ave, Hrazdan,Armenia
657,40.2057999,44.5062259,Komitas Ave,Yerevan,Armenia
660,40.52118249999999,44.7604683,Zoravar Andranik Ave, Hrazdan,Armenia
661,40.1806224,44.50817809999999,Amiryan St,Yerevan,Armenia
662,40.1829508,44.5166621,Tumanyan St,Yerevan,Armenia
663,40.1815025,44.5108536,Yeznik Koghbatsi St,Yerevan,Armenia
664,40.1769039,44.5220545,Khanjyan St,Yerevan,Armenia
666,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
667,40.1567434,44.5017089,Arshakunyats Ave,Yerevan,Armenia
